Overriding config with projects/gatsby/config.py:
# Hyperparameters for gatsby-nanogpt on the shared **core** engine (BPE edition).
#
# Gatsby has migrated off its vendored base char-level engine onto core's modern
# arch (RoPE, RMSNorm, bias-free) with byte-level BPE tokenization — see
# docs/adr/0023 and prepare.py. Dims are held IDENTICAL to the released
# gatsby-nanogpt-2 (the char baseline) so any behaviour change is attributable to
# the tokenizer+engine switch alone, not to a resize.
#
# Run from the repo root:
#   uv run --with tokenizers python projects/gatsby/prepare.py     # build data/gatsby_bpe/
#   uv run python core/nanogpt_core/train.py projects/gatsby/config.py \
#       --out_dir=projects/gatsby/runs/migrate-bpe-r1

out_dir = 'projects/gatsby/runs/migrate-bpe-r1'
data_root = 'projects/gatsby/data'   # prepare.py writes <dataset>/*.bin here
dataset = 'gatsby_bpe'               # meta.pkl carries {vocab_size, tokenizer}

eval_interval = 250   # evaluate val loss this often
eval_iters = 200
log_interval = 10     # print training loss this often

# synthetic corpus is small-ish -> only checkpoint when val loss improves
always_save_checkpoint = False

wandb_log = False

gradient_accumulation_steps = 1
batch_size = 64
# BPE compresses the corpus ~3-4x, so a whole story (~500-1100 chars) plus its
# [green=N] topic: ... control line fits in ~150-256 tokens. 256 keeps the
# control line and the story body in one window, so the conditioned obsession +
# topic stay in view across the document.
block_size = 256

# the "baby GPT" — same shape as gatsby-nanogpt-2 (n_embd/n_layer/n_head fixed
# for comparability; param count shifts only with the BPE vocab vs char vocab,
# and RoPE drops the learned wpe table entirely).
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3  # small networks can use a higher LR
max_iters = 3000
lr_decay_iters = 3000  # usually equal to max_iters
min_lr = 1e-4
beta2 = 0.99          # a bit higher because we see few tokens per step
warmup_iters = 100

# --- the Mac-specific bits ---
device = 'mps'        # Apple Metal GPU
compile = False       # torch.compile is unreliable on macOS / MPS
# float32, NOT float16: core's GradScaler is CUDA-only, so MPS float16 autocast
# runs unscaled and large logits overflow (this diverged shakespeare's large-vocab
# BPE run). gatsby is small; float32 on MPS is plenty fast and sidesteps it.
dtype = 'float32'

tokens per iteration will be: 16,384
/Users/romello/code/sup-computer/.venv/lib/python3.9/site-packages/torch/amp/autocast_mode.py:346: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtype of torch.bfloat16 and torch.float16 currently.
  warnings.warn(error_message)
found vocab_size = 1024 (inside projects/gatsby/data/gatsby_bpe/meta.pkl)
Initializing a new model from scratch
number of parameters: 11.02M
num decayed tensors: 25, non-decayed: 13
using fused AdamW: False
step 0: train loss 6.9681, val loss 6.9682
iter 0: loss 6.9752, time 84673.81ms, mfu -100.00%
iter 10: loss 5.9126, time 721.75ms, mfu 0.53%
iter 20: loss 5.0817, time 758.07ms, mfu 0.53%
iter 30: loss 4.6584, time 733.91ms, mfu 0.53%
iter 40: loss 4.2112, time 739.13ms, mfu 0.53%
iter 50: loss 3.8613, time 723.44ms, mfu 0.53%
iter 60: loss 3.5498, time 728.94ms, mfu 0.53%
iter 70: loss 3.3662, time 722.92ms, mfu 0.53%
iter 80: loss 3.1987, time 751.02ms, mfu 0.53%
iter 90: loss 3.0292, time 743.56ms, mfu 0.53%
iter 100: loss 3.0000, time 716.71ms, mfu 0.53%
iter 110: loss 2.9365, time 722.51ms, mfu 0.53%
iter 120: loss 2.8787, time 716.03ms, mfu 0.53%
iter 130: loss 2.7321, time 712.65ms, mfu 0.53%
iter 140: loss 2.6843, time 717.16ms, mfu 0.53%
iter 150: loss 2.5335, time 715.27ms, mfu 0.53%
iter 160: loss 2.5862, time 722.16ms, mfu 0.53%
iter 170: loss 2.4897, time 718.50ms, mfu 0.53%
iter 180: loss 2.4504, time 715.55ms, mfu 0.53%
iter 190: loss 2.3642, time 714.72ms, mfu 0.53%
iter 200: loss 2.3871, time 717.41ms, mfu 0.53%
iter 210: loss 2.4035, time 720.18ms, mfu 0.53%
iter 220: loss 2.2867, time 716.06ms, mfu 0.53%
iter 230: loss 2.1851, time 712.63ms, mfu 0.53%
iter 240: loss 2.2105, time 721.30ms, mfu 0.53%
step 250: train loss 2.0234, val loss 2.1978
saving checkpoint to projects/gatsby/runs/migrate-bpe-r1
iter 250: loss 2.1256, time 50615.29ms, mfu 0.48%
iter 260: loss 2.1351, time 412.83ms, mfu 0.53%
iter 270: loss 2.1597, time 413.69ms, mfu 0.57%
iter 280: loss 2.0926, time 413.48ms, mfu 0.60%
iter 290: loss 1.9524, time 413.41ms, mfu 0.64%
iter 300: loss 2.0554, time 413.29ms, mfu 0.66%
iter 310: loss 1.9554, time 419.44ms, mfu 0.69%
iter 320: loss 1.9915, time 417.83ms, mfu 0.71%
iter 330: loss 2.0292, time 414.89ms, mfu 0.73%
iter 340: loss 1.9746, time 414.92ms, mfu 0.75%
iter 350: loss 1.8237, time 414.80ms, mfu 0.77%
iter 360: loss 1.9101, time 414.78ms, mfu 0.79%
iter 370: loss 1.8348, time 414.16ms, mfu 0.80%
iter 380: loss 1.8557, time 414.22ms, mfu 0.81%
iter 390: loss 1.8170, time 414.00ms, mfu 0.82%
iter 400: loss 1.7477, time 414.09ms, mfu 0.83%
iter 410: loss 1.7386, time 414.37ms, mfu 0.84%
