/Users/romello/code/nanogpt-shakespeare/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/romello/code/nanogpt-shakespeare/.venv/lib/python3.9/site-packages/torch/amp/grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_mac.py:
# Character-level Shakespeare GPT, tuned for an Apple Silicon Mac (MPS backend).
# Run with:  python train.py config/train_shakespeare_mac.py
#
# This is the only file in config/ that we added on top of upstream nanoGPT.
# It mirrors train_shakespeare_char.py but sets device='mps' and compile=False,
# which are the two changes needed to train on a Mac instead of an NVIDIA GPU.

out_dir = 'out-shakespeare-char'
eval_interval = 250   # evaluate val loss this often (we overfit fast on tiny data)
eval_iters = 200
log_interval = 10     # print training loss this often

# small dataset -> we expect to overfit, so only checkpoint when val loss improves
always_save_checkpoint = False

wandb_log = False     # no experiment tracking for a first run

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256      # context length: predict char N+1 from the previous 256 chars

# the "baby GPT" — ~10.6M parameters
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3  # small networks can use a higher LR
max_iters = 2000      # ~10 min on an M-series Mac; bump to 5000 for noticeably better text
lr_decay_iters = 2000 # usually equal to max_iters
min_lr = 1e-4
beta2 = 0.99          # a bit higher because we see few tokens per step
warmup_iters = 100

# --- the Mac-specific bits ---
device = 'mps'        # Apple Metal GPU. Use 'cpu' if you hit MPS issues.
compile = False       # torch.compile is unreliable on macOS / MPS

Overriding: dataset = shakespeare_small
Overriding: out_dir = rsi/runs/r1-data-small
Overriding: eval_interval = 500
tokens per iteration will be: 16,384
found vocab_size = 100 (inside data/shakespeare_small/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.66M
num decayed parameter tensors: 26, with 10,753,536 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.6055, val loss 4.5731
iter 0: loss 4.6337, time 30881.74ms, mfu -100.00%
iter 10: loss 3.4063, time 306.48ms, mfu 1.22%
iter 20: loss 2.9075, time 307.64ms, mfu 1.22%
iter 30: loss 2.7129, time 307.02ms, mfu 1.22%
iter 40: loss 2.6047, time 307.76ms, mfu 1.22%
iter 50: loss 2.5530, time 307.27ms, mfu 1.22%
iter 60: loss 2.5522, time 308.57ms, mfu 1.22%
iter 70: loss 2.5227, time 310.20ms, mfu 1.21%
iter 80: loss 2.5258, time 310.46ms, mfu 1.21%
iter 90: loss 2.4985, time 307.98ms, mfu 1.21%
iter 100: loss 2.5147, time 306.88ms, mfu 1.21%
iter 110: loss 2.4859, time 306.96ms, mfu 1.21%
iter 120: loss 2.4945, time 308.35ms, mfu 1.21%
iter 130: loss 2.4557, time 308.91ms, mfu 1.21%
iter 140: loss 2.4590, time 308.03ms, mfu 1.21%
iter 150: loss 2.4312, time 309.74ms, mfu 1.21%
iter 160: loss 2.4122, time 311.45ms, mfu 1.21%
iter 170: loss 2.4118, time 310.63ms, mfu 1.21%
iter 180: loss 2.3733, time 313.24ms, mfu 1.21%
iter 190: loss 2.3522, time 311.06ms, mfu 1.21%
iter 200: loss 2.3120, time 310.97ms, mfu 1.21%
iter 210: loss 2.2454, time 314.57ms, mfu 1.20%
iter 220: loss 2.2016, time 311.28ms, mfu 1.20%
iter 230: loss 2.1379, time 311.94ms, mfu 1.20%
iter 240: loss 2.0797, time 313.87ms, mfu 1.20%
iter 250: loss 2.0726, time 314.71ms, mfu 1.20%
iter 260: loss 2.0188, time 313.10ms, mfu 1.20%
iter 270: loss 2.0276, time 314.03ms, mfu 1.20%
iter 280: loss 1.9924, time 312.13ms, mfu 1.20%
iter 290: loss 1.9730, time 315.00ms, mfu 1.20%
iter 300: loss 1.9438, time 312.48ms, mfu 1.20%
iter 310: loss 1.9307, time 315.18ms, mfu 1.19%
iter 320: loss 1.8959, time 315.17ms, mfu 1.19%
iter 330: loss 1.8739, time 315.72ms, mfu 1.19%
