Overriding config with projects/shakespeare/config/train_shakespeare_mac.py:
# Character-level Shakespeare GPT, tuned for an Apple Silicon Mac (MPS backend).
# The base config for a new experiment round on the shared core engine. Run from
# the repo root, e.g.:
#   uv run python core/nanogpt_core/train.py \
#       projects/shakespeare/config/train_shakespeare_mac.py \
#       --out_dir=projects/shakespeare/runs/r1
#
# Sets device='mps' and compile=False, the two changes needed to train on a Mac
# instead of an NVIDIA GPU. (Released versions carry their own frozen config.py
# under models/<version>/; this file is for running new experiment rounds.)

out_dir = 'projects/shakespeare/runs/out-shakespeare-char'
data_root = 'projects/shakespeare/data'  # where prepare.py writes <dataset>/*.bin
eval_interval = 250   # evaluate val loss this often (we overfit fast on tiny data)
eval_iters = 200
log_interval = 10     # print training loss this often

# small dataset -> we expect to overfit, so only checkpoint when val loss improves
always_save_checkpoint = False

wandb_log = False     # no experiment tracking for a first run

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256      # context length: predict char N+1 from the previous 256 chars

# the "baby GPT" — ~10.6M parameters
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3  # small networks can use a higher LR
max_iters = 2000      # ~10 min on an M-series Mac; bump to 5000 for noticeably better text
lr_decay_iters = 2000 # usually equal to max_iters
min_lr = 1e-4
beta2 = 0.99          # a bit higher because we see few tokens per step
warmup_iters = 100

# --- the Mac-specific bits ---
device = 'mps'        # Apple Metal GPU. Use 'cpu' if you hit MPS issues.
compile = False       # torch.compile is unreliable on macOS / MPS

Overriding: dtype = float32
Overriding: learning_rate = 0.001
Overriding: min_lr = 0.0001
Overriding: out_dir = projects/shakespeare/runs/r6-fp32-bpe4k
Overriding: dataset = shakespeare_xl_bpe4k
tokens per iteration will be: 16,384
/Users/romello/code/sup-computer/.venv/lib/python3.9/site-packages/torch/amp/autocast_mode.py:346: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtype of torch.bfloat16 and torch.float16 currently.
  warnings.warn(error_message)
found vocab_size = 4096 (inside projects/shakespeare/data/shakespeare_xl_bpe4k/meta.pkl)
Initializing a new model from scratch
number of parameters: 12.19M
num decayed tensors: 25, non-decayed: 13
using fused AdamW: False
step 0: train loss 8.3420, val loss 8.3535
iter 0: loss 8.3568, time 87422.97ms, mfu -100.00%
iter 10: loss 7.3419, time 761.05ms, mfu 0.55%
iter 20: loss 6.8699, time 755.23ms, mfu 0.55%
iter 30: loss 6.3296, time 755.91ms, mfu 0.55%
iter 40: loss 6.1261, time 761.03ms, mfu 0.55%
iter 50: loss 5.9245, time 756.81ms, mfu 0.55%
iter 60: loss 5.7489, time 762.98ms, mfu 0.55%
iter 70: loss 5.4404, time 762.65ms, mfu 0.55%
iter 80: loss 5.2158, time 757.55ms, mfu 0.55%
iter 90: loss 5.0849, time 777.52ms, mfu 0.55%
iter 100: loss 5.0476, time 755.09ms, mfu 0.55%
iter 110: loss 4.9416, time 757.82ms, mfu 0.55%
iter 120: loss 4.9003, time 757.58ms, mfu 0.55%
iter 130: loss 4.7658, time 759.76ms, mfu 0.55%
iter 140: loss 4.7003, time 764.29ms, mfu 0.55%
iter 150: loss 4.6505, time 758.79ms, mfu 0.55%
iter 160: loss 4.5839, time 761.79ms, mfu 0.55%
iter 170: loss 4.5143, time 759.01ms, mfu 0.55%
iter 180: loss 4.4592, time 757.56ms, mfu 0.55%
iter 190: loss 4.4519, time 763.06ms, mfu 0.55%
iter 200: loss 4.3912, time 765.75ms, mfu 0.55%
iter 210: loss 4.3868, time 762.03ms, mfu 0.55%
iter 220: loss 4.3223, time 780.71ms, mfu 0.55%
iter 230: loss 4.2571, time 758.03ms, mfu 0.55%
iter 240: loss 4.2690, time 759.02ms, mfu 0.55%
step 250: train loss 4.1295, val loss 4.8752
saving checkpoint to projects/shakespeare/runs/r6-fp32-bpe4k
iter 250: loss 4.1227, time 88293.69ms, mfu 0.50%
iter 260: loss 4.1700, time 759.03ms, mfu 0.50%
iter 270: loss 4.1254, time 760.44ms, mfu 0.51%
iter 280: loss 4.2260, time 760.77ms, mfu 0.51%
iter 290: loss 4.0711, time 760.09ms, mfu 0.52%
iter 300: loss 4.0923, time 757.39ms, mfu 0.52%
iter 310: loss 4.0743, time 760.19ms, mfu 0.52%
iter 320: loss 3.9819, time 757.46ms, mfu 0.53%
iter 330: loss 4.0632, time 758.32ms, mfu 0.53%
iter 340: loss 3.9394, time 728.18ms, mfu 0.54%
iter 350: loss 4.0504, time 788.60ms, mfu 0.54%
