Overriding config with projects/shakespeare/config/train_shakespeare_mac.py:
# Character-level Shakespeare GPT, tuned for an Apple Silicon Mac (MPS backend).
# The base config for a new experiment round on the shared core engine. Run from
# the repo root, e.g.:
#   uv run python core/nanogpt_core/train.py \
#       projects/shakespeare/config/train_shakespeare_mac.py \
#       --out_dir=projects/shakespeare/runs/r1
#
# Sets device='mps' and compile=False, the two changes needed to train on a Mac
# instead of an NVIDIA GPU. (Released versions carry their own frozen config.py
# under models/<version>/; this file is for running new experiment rounds.)

out_dir = 'projects/shakespeare/runs/out-shakespeare-char'
data_root = 'projects/shakespeare/data'  # where prepare.py writes <dataset>/*.bin
eval_interval = 250   # evaluate val loss this often (we overfit fast on tiny data)
eval_iters = 200
log_interval = 10     # print training loss this often

# small dataset -> we expect to overfit, so only checkpoint when val loss improves
always_save_checkpoint = False

wandb_log = False     # no experiment tracking for a first run

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256      # context length: predict char N+1 from the previous 256 chars

# the "baby GPT" — ~10.6M parameters
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3  # small networks can use a higher LR
max_iters = 2000      # ~10 min on an M-series Mac; bump to 5000 for noticeably better text
lr_decay_iters = 2000 # usually equal to max_iters
min_lr = 1e-4
beta2 = 0.99          # a bit higher because we see few tokens per step
warmup_iters = 100

# --- the Mac-specific bits ---
device = 'mps'        # Apple Metal GPU. Use 'cpu' if you hit MPS issues.
compile = False       # torch.compile is unreliable on macOS / MPS

Overriding: dtype = float32
Overriding: learning_rate = 0.001
Overriding: min_lr = 0.0001
Overriding: out_dir = projects/shakespeare/runs/r6-fp32-gpt2
Overriding: dataset = shakespeare_xl_gpt2
tokens per iteration will be: 16,384
/Users/romello/code/sup-computer/.venv/lib/python3.9/site-packages/torch/amp/autocast_mode.py:346: UserWarning: In MPS autocast, but the target dtype is not supported. Disabling autocast.
MPS Autocast only supports dtype of torch.bfloat16 and torch.float16 currently.
  warnings.warn(error_message)
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 29.94M
num decayed tensors: 25, non-decayed: 13
using fused AdamW: False
step 0: train loss 10.8273, val loss 10.7919
iter 0: loss 10.8350, time 184213.49ms, mfu -100.00%
iter 10: loss 9.4358, time 1564.35ms, mfu 0.63%
iter 20: loss 8.5385, time 1560.57ms, mfu 0.63%
iter 30: loss 7.4984, time 1568.91ms, mfu 0.63%
iter 40: loss 6.3823, time 1565.02ms, mfu 0.63%
iter 50: loss 6.0779, time 1575.43ms, mfu 0.63%
iter 60: loss 5.8082, time 1557.01ms, mfu 0.63%
iter 70: loss 5.5464, time 1567.90ms, mfu 0.63%
iter 80: loss 5.4212, time 1563.41ms, mfu 0.63%
iter 90: loss 5.1841, time 1561.31ms, mfu 0.63%
iter 100: loss 5.0287, time 1570.02ms, mfu 0.63%
iter 110: loss 4.9300, time 1557.86ms, mfu 0.63%
iter 120: loss 4.8236, time 1558.52ms, mfu 0.63%
iter 130: loss 4.7475, time 1582.03ms, mfu 0.63%
iter 140: loss 4.4881, time 1556.92ms, mfu 0.63%
iter 150: loss 4.6696, time 1544.69ms, mfu 0.63%
iter 160: loss 4.4320, time 1561.87ms, mfu 0.63%
iter 170: loss 4.3742, time 1555.55ms, mfu 0.63%
iter 180: loss 4.4359, time 1565.46ms, mfu 0.63%
iter 190: loss 4.3501, time 1646.66ms, mfu 0.62%
iter 200: loss 4.4281, time 1645.01ms, mfu 0.62%
iter 210: loss 4.1572, time 899.51ms, mfu 0.67%
iter 220: loss 4.2908, time 885.16ms, mfu 0.71%
iter 230: loss 4.1312, time 890.97ms, mfu 0.75%
iter 240: loss 4.1065, time 880.29ms, mfu 0.79%
step 250: train loss 4.0518, val loss 4.9504
saving checkpoint to projects/shakespeare/runs/r6-fp32-gpt2
iter 250: loss 4.2201, time 111336.13ms, mfu 0.71%
iter 260: loss 3.9972, time 869.82ms, mfu 0.75%
iter 270: loss 4.2324, time 868.64ms, mfu 0.79%
iter 280: loss 3.9884, time 868.85ms, mfu 0.82%
iter 290: loss 3.8656, time 869.00ms, mfu 0.85%
iter 300: loss 3.9885, time 870.28ms, mfu 0.88%
iter 310: loss 3.9531, time 868.18ms, mfu 0.91%
iter 320: loss 4.0054, time 868.44ms, mfu 0.93%
iter 330: loss 3.9256, time 871.88ms, mfu 0.95%
iter 340: loss 3.8901, time 867.89ms, mfu 0.97%
iter 350: loss 3.8090, time 868.07ms, mfu 0.98%
iter 360: loss 3.9960, time 867.94ms, mfu 1.00%
iter 370: loss 3.8396, time 868.05ms, mfu 1.01%
iter 380: loss 3.7983, time 867.45ms, mfu 1.02%
iter 390: loss 3.8056, time 867.08ms, mfu 1.03%
iter 400: loss 3.7308, time 868.06ms, mfu 1.04%
iter 410: loss 3.8185, time 873.21ms, mfu 1.05%
iter 420: loss 3.7866, time 869.06ms, mfu 1.06%
iter 430: loss 3.7828, time 870.39ms, mfu 1.07%
iter 440: loss 3.7897, time 868.42ms, mfu 1.07%
iter 450: loss 3.6789, time 871.01ms, mfu 1.08%
iter 460: loss 3.6418, time 872.00ms, mfu 1.08%
iter 470: loss 3.5594, time 871.83ms, mfu 1.09%
iter 480: loss 3.5894, time 962.49ms, mfu 1.08%
iter 490: loss 3.6004, time 870.84ms, mfu 1.08%
step 500: train loss 3.5350, val loss 4.6243
saving checkpoint to projects/shakespeare/runs/r6-fp32-gpt2
iter 500: loss 3.6826, time 111560.86ms, mfu 0.98%
iter 510: loss 3.6208, time 876.96ms, mfu 0.99%
iter 520: loss 3.5803, time 879.35ms, mfu 1.00%
iter 530: loss 3.6319, time 876.46ms, mfu 1.01%
iter 540: loss 3.5399, time 878.00ms, mfu 1.02%
iter 550: loss 3.5559, time 883.18ms, mfu 1.03%
iter 560: loss 3.5114, time 879.28ms, mfu 1.04%
iter 570: loss 3.5398, time 880.34ms, mfu 1.05%
iter 580: loss 3.5928, time 878.69ms, mfu 1.06%
iter 590: loss 3.5491, time 878.96ms, mfu 1.06%
iter 600: loss 3.5370, time 878.72ms, mfu 1.07%
iter 610: loss 3.4802, time 876.67ms, mfu 1.07%
iter 620: loss 3.5312, time 880.04ms, mfu 1.08%
iter 630: loss 3.3817, time 879.53ms, mfu 1.08%
iter 640: loss 3.4688, time 878.93ms, mfu 1.08%
iter 650: loss 3.5951, time 880.26ms, mfu 1.09%
iter 660: loss 3.4323, time 882.51ms, mfu 1.09%
iter 670: loss 3.4130, time 880.04ms, mfu 1.09%
iter 680: loss 3.4401, time 880.40ms, mfu 1.09%
