/Users/romello/code/nanogpt-shakespeare/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/romello/code/nanogpt-shakespeare/.venv/lib/python3.9/site-packages/torch/amp/grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_mac.py:
# Character-level Shakespeare GPT, tuned for an Apple Silicon Mac (MPS backend).
# Run with:  python train.py config/train_shakespeare_mac.py
#
# This is the only file in config/ that we added on top of upstream nanoGPT.
# It mirrors train_shakespeare_char.py but sets device='mps' and compile=False,
# which are the two changes needed to train on a Mac instead of an NVIDIA GPU.

out_dir = 'out-shakespeare-char'
eval_interval = 250   # evaluate val loss this often (we overfit fast on tiny data)
eval_iters = 200
log_interval = 10     # print training loss this often

# small dataset -> we expect to overfit, so only checkpoint when val loss improves
always_save_checkpoint = False

wandb_log = False     # no experiment tracking for a first run

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256      # context length: predict char N+1 from the previous 256 chars

# the "baby GPT" — ~10.6M parameters
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3  # small networks can use a higher LR
max_iters = 2000      # ~10 min on an M-series Mac; bump to 5000 for noticeably better text
lr_decay_iters = 2000 # usually equal to max_iters
min_lr = 1e-4
beta2 = 0.99          # a bit higher because we see few tokens per step
warmup_iters = 100

# --- the Mac-specific bits ---
device = 'mps'        # Apple Metal GPU. Use 'cpu' if you hit MPS issues.
compile = False       # torch.compile is unreliable on macOS / MPS

Overriding: dataset = shakespeare_full
Overriding: out_dir = rsi/runs/r1-data-full
Overriding: eval_interval = 500
tokens per iteration will be: 16,384
found vocab_size = 100 (inside data/shakespeare_full/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.66M
num decayed parameter tensors: 26, with 10,753,536 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.6105, val loss 4.5731
iter 0: loss 4.6345, time 42527.82ms, mfu -100.00%
iter 10: loss 3.3978, time 422.57ms, mfu 0.88%
iter 20: loss 2.9384, time 418.05ms, mfu 0.88%
iter 30: loss 2.7001, time 419.55ms, mfu 0.88%
iter 40: loss 2.6375, time 420.18ms, mfu 0.88%
iter 50: loss 2.5985, time 419.01ms, mfu 0.89%
iter 60: loss 2.5635, time 420.32ms, mfu 0.89%
iter 70: loss 2.5198, time 419.70ms, mfu 0.89%
iter 80: loss 2.5253, time 411.37ms, mfu 0.89%
iter 90: loss 2.5384, time 422.27ms, mfu 0.89%
iter 100: loss 2.5029, time 421.56ms, mfu 0.89%
iter 110: loss 2.5059, time 420.81ms, mfu 0.89%
iter 120: loss 2.4923, time 420.64ms, mfu 0.89%
iter 130: loss 2.5175, time 419.67ms, mfu 0.89%
iter 140: loss 2.4601, time 420.36ms, mfu 0.89%
iter 150: loss 2.4686, time 424.49ms, mfu 0.89%
iter 160: loss 2.4557, time 423.67ms, mfu 0.89%
iter 170: loss 2.4075, time 422.76ms, mfu 0.89%
iter 180: loss 2.3882, time 420.12ms, mfu 0.89%
iter 190: loss 2.3333, time 420.82ms, mfu 0.89%
iter 200: loss 2.3091, time 421.66ms, mfu 0.89%
iter 210: loss 2.2393, time 420.65ms, mfu 0.89%
iter 220: loss 2.1797, time 420.50ms, mfu 0.89%
iter 230: loss 2.1742, time 421.71ms, mfu 0.89%
iter 240: loss 2.1546, time 422.58ms, mfu 0.89%
iter 250: loss 2.1201, time 422.73ms, mfu 0.89%
iter 260: loss 2.0751, time 421.17ms, mfu 0.89%
iter 270: loss 2.0832, time 421.65ms, mfu 0.89%
iter 280: loss 2.0101, time 422.29ms, mfu 0.89%
iter 290: loss 1.9800, time 421.62ms, mfu 0.89%
iter 300: loss 1.9937, time 422.00ms, mfu 0.88%
iter 310: loss 1.9942, time 426.54ms, mfu 0.88%
iter 320: loss 1.9565, time 422.03ms, mfu 0.88%
iter 330: loss 1.9550, time 420.48ms, mfu 0.88%
iter 340: loss 1.9387, time 422.74ms, mfu 0.88%
iter 350: loss 1.9019, time 420.45ms, mfu 0.88%
iter 360: loss 1.8937, time 444.86ms, mfu 0.88%
iter 370: loss 1.8471, time 416.32ms, mfu 0.88%
iter 380: loss 1.8522, time 419.07ms, mfu 0.88%
iter 390: loss 1.8526, time 418.47ms, mfu 0.88%
iter 400: loss 1.8288, time 440.48ms, mfu 0.88%
iter 410: loss 1.8135, time 412.05ms, mfu 0.88%
iter 420: loss 1.8107, time 420.26ms, mfu 0.88%
iter 430: loss 1.8082, time 417.11ms, mfu 0.88%
iter 440: loss 1.7718, time 419.30ms, mfu 0.88%
iter 450: loss 1.7798, time 423.24ms, mfu 0.88%
iter 460: loss 1.7783, time 422.39ms, mfu 0.88%
