<string>:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
/Users/romello/code/nanogpt-shakespeare/.venv/lib/python3.9/site-packages/torch/amp/grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_mac.py:
# Character-level Shakespeare GPT, tuned for an Apple Silicon Mac (MPS backend).
# Run with:  python train.py config/train_shakespeare_mac.py
#
# This is the only file in config/ that we added on top of upstream nanoGPT.
# It mirrors train_shakespeare_char.py but sets device='mps' and compile=False,
# which are the two changes needed to train on a Mac instead of an NVIDIA GPU.

out_dir = 'out-shakespeare-char'
eval_interval = 250   # evaluate val loss this often (we overfit fast on tiny data)
eval_iters = 200
log_interval = 10     # print training loss this often

# small dataset -> we expect to overfit, so only checkpoint when val loss improves
always_save_checkpoint = False

wandb_log = False     # no experiment tracking for a first run

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256      # context length: predict char N+1 from the previous 256 chars

# the "baby GPT" — ~10.6M parameters
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3  # small networks can use a higher LR
max_iters = 2000      # ~10 min on an M-series Mac; bump to 5000 for noticeably better text
lr_decay_iters = 2000 # usually equal to max_iters
min_lr = 1e-4
beta2 = 0.99          # a bit higher because we see few tokens per step
warmup_iters = 100

# --- the Mac-specific bits ---
device = 'mps'        # Apple Metal GPU. Use 'cpu' if you hit MPS issues.
compile = False       # torch.compile is unreliable on macOS / MPS

Overriding: dataset = shakespeare_full
Overriding: out_dir = rsi/runs/r2-arch-modern
Overriding: bias = False
Overriding: eval_interval = 500
tokens per iteration will be: 16,384
found vocab_size = 100 (inside data/shakespeare_full/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.66M
num decayed tensors: 25, non-decayed: 13
using fused AdamW: False
step 0: train loss 4.6795, val loss 4.6450
iter 0: loss 4.6696, time 46375.65ms, mfu -100.00%
iter 10: loss 3.2573, time 407.30ms, mfu 0.92%
iter 20: loss 2.8662, time 407.46ms, mfu 0.92%
iter 30: loss 2.6543, time 412.94ms, mfu 0.91%
iter 40: loss 2.5727, time 414.40ms, mfu 0.91%
iter 50: loss 2.4718, time 414.82ms, mfu 0.91%
iter 60: loss 2.3696, time 415.46ms, mfu 0.91%
iter 70: loss 2.2849, time 415.97ms, mfu 0.91%
iter 80: loss 2.2605, time 415.39ms, mfu 0.91%
iter 90: loss 2.1763, time 415.07ms, mfu 0.91%
iter 100: loss 2.1175, time 409.80ms, mfu 0.91%
iter 110: loss 2.0763, time 412.07ms, mfu 0.91%
iter 120: loss 2.0859, time 414.78ms, mfu 0.91%
iter 130: loss 2.0119, time 415.70ms, mfu 0.91%
iter 140: loss 1.9845, time 417.57ms, mfu 0.90%
iter 150: loss 1.9420, time 418.35ms, mfu 0.90%
iter 160: loss 1.9544, time 420.76ms, mfu 0.90%
iter 170: loss 1.9132, time 421.34ms, mfu 0.90%
iter 180: loss 1.8956, time 423.18ms, mfu 0.90%
iter 190: loss 1.8613, time 425.03ms, mfu 0.90%
iter 200: loss 1.8625, time 424.37ms, mfu 0.89%
iter 210: loss 1.8610, time 425.46ms, mfu 0.89%
iter 220: loss 1.8447, time 427.07ms, mfu 0.89%
iter 230: loss 1.7999, time 429.25ms, mfu 0.89%
iter 240: loss 1.8100, time 431.28ms, mfu 0.89%
iter 250: loss 1.8065, time 429.54ms, mfu 0.88%
iter 260: loss 1.7633, time 432.05ms, mfu 0.88%
iter 270: loss 1.7255, time 431.67ms, mfu 0.88%
iter 280: loss 1.7435, time 434.65ms, mfu 0.88%
iter 290: loss 1.7087, time 434.14ms, mfu 0.88%
iter 300: loss 1.7122, time 435.46ms, mfu 0.87%
iter 310: loss 1.7360, time 437.47ms, mfu 0.87%
iter 320: loss 1.6836, time 439.56ms, mfu 0.87%
iter 330: loss 1.7058, time 440.33ms, mfu 0.87%
iter 340: loss 1.6874, time 441.54ms, mfu 0.87%
iter 350: loss 1.6545, time 443.00ms, mfu 0.86%
iter 360: loss 1.6767, time 443.02ms, mfu 0.86%
iter 370: loss 1.6364, time 444.11ms, mfu 0.86%
iter 380: loss 1.6309, time 444.64ms, mfu 0.86%
iter 390: loss 1.6228, time 444.47ms, mfu 0.86%
iter 400: loss 1.5988, time 446.41ms, mfu 0.85%
iter 410: loss 1.6410, time 458.69ms, mfu 0.85%
iter 420: loss 1.5935, time 447.41ms, mfu 0.85%
iter 430: loss 1.5993, time 446.16ms, mfu 0.85%
iter 440: loss 1.5759, time 448.38ms, mfu 0.85%
iter 450: loss 1.5949, time 447.78ms, mfu 0.84%
iter 460: loss 1.5696, time 448.73ms, mfu 0.84%
iter 470: loss 1.5161, time 447.74ms, mfu 0.84%
iter 480: loss 1.5657, time 449.49ms, mfu 0.84%
iter 490: loss 1.5621, time 448.06ms, mfu 0.84%
step 500: train loss 1.4624, val loss 1.6705
saving checkpoint to rsi/runs/r2-arch-modern
iter 500: loss 1.5118, time 52446.15ms, mfu 0.76%
iter 510: loss 1.5548, time 451.01ms, mfu 0.76%
iter 520: loss 1.5129, time 446.44ms, mfu 0.77%
iter 530: loss 1.5543, time 446.29ms, mfu 0.78%
iter 540: loss 1.5334, time 445.41ms, mfu 0.78%
iter 550: loss 1.5514, time 447.39ms, mfu 0.79%
iter 560: loss 1.5004, time 447.45ms, mfu 0.79%
iter 570: loss 1.4883, time 448.38ms, mfu 0.80%
iter 580: loss 1.4690, time 447.23ms, mfu 0.80%
iter 590: loss 1.4977, time 447.28ms, mfu 0.80%
iter 600: loss 1.5424, time 447.04ms, mfu 0.81%
iter 610: loss 1.4863, time 447.58ms, mfu 0.81%
iter 620: loss 1.4847, time 441.13ms, mfu 0.81%
iter 630: loss 1.4442, time 447.12ms, mfu 0.82%
iter 640: loss 1.4531, time 447.17ms, mfu 0.82%
iter 650: loss 1.5016, time 442.76ms, mfu 0.82%
iter 660: loss 1.4592, time 443.59ms, mfu 0.82%
iter 670: loss 1.4541, time 444.91ms, mfu 0.82%
iter 680: loss 1.4295, time 445.20ms, mfu 0.82%
iter 690: loss 1.4370, time 444.40ms, mfu 0.83%
iter 700: loss 1.4451, time 445.18ms, mfu 0.83%
iter 710: loss 1.4505, time 444.46ms, mfu 0.83%
iter 720: loss 1.4383, time 444.48ms, mfu 0.83%
iter 730: loss 1.4336, time 443.95ms, mfu 0.83%
iter 740: loss 1.4272, time 443.18ms, mfu 0.83%
iter 750: loss 1.4556, time 442.20ms, mfu 0.83%
iter 760: loss 1.3969, time 440.15ms, mfu 0.83%
iter 770: loss 1.4197, time 438.76ms, mfu 0.84%
iter 780: loss 1.3901, time 445.48ms, mfu 0.84%
iter 790: loss 1.4102, time 443.55ms, mfu 0.84%
iter 800: loss 1.4189, time 440.45ms, mfu 0.84%
iter 810: loss 1.4255, time 439.61ms, mfu 0.84%
iter 820: loss 1.3844, time 440.98ms, mfu 0.84%
iter 830: loss 1.3885, time 441.18ms, mfu 0.84%
iter 840: loss 1.3972, time 440.61ms, mfu 0.84%
iter 850: loss 1.3615, time 440.95ms, mfu 0.84%
iter 860: loss 1.3851, time 438.45ms, mfu 0.84%
iter 870: loss 1.3711, time 440.96ms, mfu 0.84%
iter 880: loss 1.4037, time 438.52ms, mfu 0.84%
iter 890: loss 1.3782, time 442.63ms, mfu 0.84%
iter 900: loss 1.4018, time 440.22ms, mfu 0.84%
iter 910: loss 1.3891, time 437.43ms, mfu 0.84%
iter 920: loss 1.3633, time 439.86ms, mfu 0.85%
iter 930: loss 1.3539, time 436.98ms, mfu 0.85%
iter 940: loss 1.3703, time 437.86ms, mfu 0.85%
iter 950: loss 1.3526, time 434.99ms, mfu 0.85%
iter 960: loss 1.3746, time 434.95ms, mfu 0.85%
iter 970: loss 1.3415, time 435.82ms, mfu 0.85%
iter 980: loss 1.3770, time 438.15ms, mfu 0.85%
iter 990: loss 1.3465, time 434.26ms, mfu 0.85%
step 1000: train loss 1.2911, val loss 1.5298
saving checkpoint to rsi/runs/r2-arch-modern
iter 1000: loss 1.3443, time 50706.71ms, mfu 0.77%
iter 1010: loss 1.3197, time 435.20ms, mfu 0.78%
iter 1020: loss 1.3015, time 433.94ms, mfu 0.78%
iter 1030: loss 1.2977, time 440.76ms, mfu 0.79%
iter 1040: loss 1.3361, time 431.82ms, mfu 0.80%
iter 1050: loss 1.3480, time 433.85ms, mfu 0.80%
iter 1060: loss 1.3191, time 436.98ms, mfu 0.81%
iter 1070: loss 1.3321, time 432.73ms, mfu 0.81%
iter 1080: loss 1.3123, time 434.19ms, mfu 0.82%
iter 1090: loss 1.3328, time 433.39ms, mfu 0.82%
iter 1100: loss 1.3113, time 431.39ms, mfu 0.83%
iter 1110: loss 1.3724, time 432.86ms, mfu 0.83%
iter 1120: loss 1.3160, time 433.50ms, mfu 0.83%
iter 1130: loss 1.3117, time 431.44ms, mfu 0.84%
iter 1140: loss 1.3316, time 433.26ms, mfu 0.84%
iter 1150: loss 1.3095, time 432.85ms, mfu 0.84%
iter 1160: loss 1.3581, time 432.21ms, mfu 0.84%
iter 1170: loss 1.3189, time 432.71ms, mfu 0.85%
iter 1180: loss 1.2884, time 432.04ms, mfu 0.85%
iter 1190: loss 1.2983, time 434.78ms, mfu 0.85%
iter 1200: loss 1.3215, time 433.70ms, mfu 0.85%
iter 1210: loss 1.3109, time 433.88ms, mfu 0.85%
iter 1220: loss 1.3282, time 455.94ms, mfu 0.85%
iter 1230: loss 1.3370, time 435.33ms, mfu 0.85%
iter 1240: loss 1.2923, time 431.75ms, mfu 0.85%
iter 1250: loss 1.3236, time 433.05ms, mfu 0.85%
iter 1260: loss 1.3022, time 434.12ms, mfu 0.85%
iter 1270: loss 1.3179, time 433.62ms, mfu 0.85%
iter 1280: loss 1.2811, time 432.19ms, mfu 0.85%
iter 1290: loss 1.2889, time 431.64ms, mfu 0.85%
iter 1300: loss 1.2951, time 433.87ms, mfu 0.86%
iter 1310: loss 1.3069, time 430.68ms, mfu 0.86%
iter 1320: loss 1.2781, time 431.80ms, mfu 0.86%
iter 1330: loss 1.3079, time 432.58ms, mfu 0.86%
iter 1340: loss 1.3025, time 434.18ms, mfu 0.86%
iter 1350: loss 1.2822, time 432.66ms, mfu 0.86%
iter 1360: loss 1.2808, time 432.17ms, mfu 0.86%
iter 1370: loss 1.2657, time 431.96ms, mfu 0.86%
iter 1380: loss 1.2628, time 431.58ms, mfu 0.86%
iter 1390: loss 1.2563, time 434.02ms, mfu 0.86%
iter 1400: loss 1.2806, time 432.14ms, mfu 0.86%
iter 1410: loss 1.2894, time 431.34ms, mfu 0.86%
iter 1420: loss 1.2948, time 431.31ms, mfu 0.86%
iter 1430: loss 1.2907, time 431.80ms, mfu 0.86%
iter 1440: loss 1.2776, time 433.62ms, mfu 0.86%
iter 1450: loss 1.2498, time 432.50ms, mfu 0.86%
iter 1460: loss 1.2772, time 431.06ms, mfu 0.86%
iter 1470: loss 1.2817, time 432.02ms, mfu 0.86%
iter 1480: loss 1.2699, time 432.43ms, mfu 0.86%
iter 1490: loss 1.2500, time 432.74ms, mfu 0.86%
step 1500: train loss 1.2182, val loss 1.4626
saving checkpoint to rsi/runs/r2-arch-modern
iter 1500: loss 1.2529, time 50400.95ms, mfu 0.78%
iter 1510: loss 1.2545, time 435.75ms, mfu 0.78%
iter 1520: loss 1.2907, time 433.97ms, mfu 0.79%
iter 1530: loss 1.2676, time 433.74ms, mfu 0.80%
iter 1540: loss 1.2487, time 432.52ms, mfu 0.81%
iter 1550: loss 1.3012, time 433.35ms, mfu 0.81%
iter 1560: loss 1.2649, time 433.15ms, mfu 0.82%
iter 1570: loss 1.2663, time 432.76ms, mfu 0.82%
iter 1580: loss 1.2321, time 432.59ms, mfu 0.82%
iter 1590: loss 1.2463, time 430.98ms, mfu 0.83%
iter 1600: loss 1.2483, time 431.24ms, mfu 0.83%
iter 1610: loss 1.2516, time 432.12ms, mfu 0.84%
iter 1620: loss 1.2421, time 431.09ms, mfu 0.84%
iter 1630: loss 1.2276, time 432.58ms, mfu 0.84%
iter 1640: loss 1.2521, time 439.82ms, mfu 0.84%
iter 1650: loss 1.2261, time 430.67ms, mfu 0.84%
iter 1660: loss 1.2667, time 431.88ms, mfu 0.85%
iter 1670: loss 1.2738, time 432.39ms, mfu 0.85%
iter 1680: loss 1.2479, time 431.26ms, mfu 0.85%
iter 1690: loss 1.2119, time 432.50ms, mfu 0.85%
iter 1700: loss 1.2465, time 431.75ms, mfu 0.85%
iter 1710: loss 1.2641, time 431.17ms, mfu 0.85%
iter 1720: loss 1.2482, time 432.98ms, mfu 0.85%
iter 1730: loss 1.2364, time 431.46ms, mfu 0.86%
iter 1740: loss 1.2769, time 432.05ms, mfu 0.86%
iter 1750: loss 1.2578, time 431.75ms, mfu 0.86%
iter 1760: loss 1.2768, time 440.60ms, mfu 0.86%
iter 1770: loss 1.2378, time 429.85ms, mfu 0.86%
iter 1780: loss 1.2442, time 432.02ms, mfu 0.86%
iter 1790: loss 1.2541, time 431.62ms, mfu 0.86%
iter 1800: loss 1.2489, time 432.02ms, mfu 0.86%
iter 1810: loss 1.2485, time 432.26ms, mfu 0.86%
iter 1820: loss 1.2717, time 431.94ms, mfu 0.86%
iter 1830: loss 1.2607, time 432.38ms, mfu 0.86%
iter 1840: loss 1.2324, time 432.24ms, mfu 0.86%
iter 1850: loss 1.2464, time 431.18ms, mfu 0.86%
iter 1860: loss 1.2297, time 428.13ms, mfu 0.86%
iter 1870: loss 1.2145, time 430.71ms, mfu 0.86%
iter 1880: loss 1.2705, time 430.49ms, mfu 0.86%
iter 1890: loss 1.2652, time 430.96ms, mfu 0.86%
iter 1900: loss 1.2382, time 430.10ms, mfu 0.86%
iter 1910: loss 1.2582, time 438.63ms, mfu 0.86%
iter 1920: loss 1.2386, time 429.77ms, mfu 0.86%
iter 1930: loss 1.2770, time 430.89ms, mfu 0.86%
iter 1940: loss 1.2413, time 431.28ms, mfu 0.86%
iter 1950: loss 1.2056, time 430.82ms, mfu 0.86%
iter 1960: loss 1.2425, time 429.77ms, mfu 0.86%
iter 1970: loss 1.2386, time 431.86ms, mfu 0.86%
iter 1980: loss 1.2564, time 430.15ms, mfu 0.86%
iter 1990: loss 1.2244, time 429.93ms, mfu 0.86%
step 2000: train loss 1.1818, val loss 1.4376
saving checkpoint to rsi/runs/r2-arch-modern
iter 2000: loss 1.2600, time 50073.07ms, mfu 0.78%
