Overriding config with projects/shakespeare/config/train_shakespeare_mac.py:
# Character-level Shakespeare GPT, tuned for an Apple Silicon Mac (MPS backend).
# The base config for a new experiment round on the shared core engine. Run from
# the repo root, e.g.:
#   uv run python core/nanogpt_core/train.py \
#       projects/shakespeare/config/train_shakespeare_mac.py \
#       --out_dir=projects/shakespeare/runs/r1
#
# Sets device='mps' and compile=False, the two changes needed to train on a Mac
# instead of an NVIDIA GPU. (Released versions carry their own frozen config.py
# under models/<version>/; this file is for running new experiment rounds.)

out_dir = 'projects/shakespeare/runs/out-shakespeare-char'
data_root = 'projects/shakespeare/data'  # where prepare.py writes <dataset>/*.bin
eval_interval = 250   # evaluate val loss this often (we overfit fast on tiny data)
eval_iters = 200
log_interval = 10     # print training loss this often

# small dataset -> we expect to overfit, so only checkpoint when val loss improves
always_save_checkpoint = False

wandb_log = False     # no experiment tracking for a first run

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256      # context length: predict char N+1 from the previous 256 chars

# the "baby GPT" — ~10.6M parameters
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3  # small networks can use a higher LR
max_iters = 2000      # ~10 min on an M-series Mac; bump to 5000 for noticeably better text
lr_decay_iters = 2000 # usually equal to max_iters
min_lr = 1e-4
beta2 = 0.99          # a bit higher because we see few tokens per step
warmup_iters = 100

# --- the Mac-specific bits ---
device = 'mps'        # Apple Metal GPU. Use 'cpu' if you hit MPS issues.
compile = False       # torch.compile is unreliable on macOS / MPS

Overriding: out_dir = projects/shakespeare/runs/r5-xl-bpe4k
Overriding: dataset = shakespeare_xl_bpe4k
tokens per iteration will be: 16,384
found vocab_size = 4096 (inside projects/shakespeare/data/shakespeare_xl_bpe4k/meta.pkl)
Initializing a new model from scratch
number of parameters: 12.19M
num decayed tensors: 25, non-decayed: 13
using fused AdamW: False
step 0: train loss 8.3421, val loss 8.3535
iter 0: loss 8.3569, time 35439.77ms, mfu -100.00%
iter 10: loss 7.4175, time 322.07ms, mfu 1.31%
iter 20: loss 7.2115, time 322.34ms, mfu 1.31%
iter 30: loss 6.9259, time 321.85ms, mfu 1.31%
iter 40: loss 6.7540, time 321.94ms, mfu 1.31%
iter 50: loss 6.6074, time 321.12ms, mfu 1.31%
iter 60: loss 6.5731, time 323.52ms, mfu 1.31%
iter 70: loss 6.3591, time 322.99ms, mfu 1.31%
iter 80: loss 6.2662, time 322.19ms, mfu 1.31%
iter 90: loss 6.2768, time 321.20ms, mfu 1.31%
iter 100: loss 6.3188, time 320.02ms, mfu 1.31%
iter 110: loss 6.3198, time 322.59ms, mfu 1.31%
iter 120: loss 6.4059, time 322.46ms, mfu 1.31%
iter 130: loss 6.3282, time 322.58ms, mfu 1.31%
iter 140: loss 6.2792, time 321.31ms, mfu 1.31%
iter 150: loss 6.3560, time 321.82ms, mfu 1.31%
iter 160: loss 6.3461, time 322.02ms, mfu 1.31%
iter 170: loss 6.2997, time 322.46ms, mfu 1.31%
iter 180: loss 6.2692, time 321.56ms, mfu 1.31%
iter 190: loss 6.3110, time 321.17ms, mfu 1.31%
iter 200: loss 6.2867, time 322.23ms, mfu 1.31%
iter 210: loss 6.3475, time 322.96ms, mfu 1.31%
iter 220: loss 6.3500, time 324.42ms, mfu 1.31%
iter 230: loss 6.4676, time 321.64ms, mfu 1.31%
iter 240: loss 6.3679, time 321.94ms, mfu 1.31%
step 250: train loss 6.3108, val loss 6.6170
saving checkpoint to projects/shakespeare/runs/r5-xl-bpe4k
iter 250: loss 6.2529, time 35545.78ms, mfu 1.18%
iter 260: loss 6.3140, time 322.22ms, mfu 1.19%
iter 270: loss 6.4226, time 324.10ms, mfu 1.20%
iter 280: loss 6.5026, time 321.89ms, mfu 1.21%
iter 290: loss 6.4503, time 322.15ms, mfu 1.22%
