Overriding config with projects/shakespeare/config/train_shakespeare_mac.py:
# Character-level Shakespeare GPT, tuned for an Apple Silicon Mac (MPS backend).
# The base config for a new experiment round on the shared core engine. Run from
# the repo root, e.g.:
#   uv run python core/nanogpt_core/train.py \
#       projects/shakespeare/config/train_shakespeare_mac.py \
#       --out_dir=projects/shakespeare/runs/r1
#
# Sets device='mps' and compile=False, the two changes needed to train on a Mac
# instead of an NVIDIA GPU. (Released versions carry their own frozen config.py
# under models/<version>/; this file is for running new experiment rounds.)

out_dir = 'projects/shakespeare/runs/out-shakespeare-char'
data_root = 'projects/shakespeare/data'  # where prepare.py writes <dataset>/*.bin
eval_interval = 250   # evaluate val loss this often (we overfit fast on tiny data)
eval_iters = 200
log_interval = 10     # print training loss this often

# small dataset -> we expect to overfit, so only checkpoint when val loss improves
always_save_checkpoint = False

wandb_log = False     # no experiment tracking for a first run

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256      # context length: predict char N+1 from the previous 256 chars

# the "baby GPT" — ~10.6M parameters
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3  # small networks can use a higher LR
max_iters = 2000      # ~10 min on an M-series Mac; bump to 5000 for noticeably better text
lr_decay_iters = 2000 # usually equal to max_iters
min_lr = 1e-4
beta2 = 0.99          # a bit higher because we see few tokens per step
warmup_iters = 100

# --- the Mac-specific bits ---
device = 'mps'        # Apple Metal GPU. Use 'cpu' if you hit MPS issues.
compile = False       # torch.compile is unreliable on macOS / MPS

Overriding: out_dir = projects/shakespeare/runs/r5-xl-gpt2-lr1e4
Overriding: dataset = shakespeare_xl_gpt2
Overriding: learning_rate = 0.0001
Overriding: min_lr = 1e-05
Overriding: warmup_iters = 200
tokens per iteration will be: 16,384
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 29.94M
num decayed tensors: 25, non-decayed: 13
using fused AdamW: False
step 0: train loss 10.8273, val loss 10.7918
iter 0: loss 10.8349, time 73784.44ms, mfu -100.00%
iter 10: loss 10.5202, time 617.27ms, mfu 1.59%
iter 20: loss 10.0248, time 619.67ms, mfu 1.59%
iter 30: loss 9.7746, time 621.97ms, mfu 1.59%
iter 40: loss 9.4704, time 626.51ms, mfu 1.58%
iter 50: loss 9.3923, time 619.27ms, mfu 1.58%
iter 60: loss 9.2109, time 625.17ms, mfu 1.58%
iter 70: loss 9.0750, time 628.85ms, mfu 1.58%
iter 80: loss 8.9639, time 622.62ms, mfu 1.58%
iter 90: loss 8.7970, time 620.08ms, mfu 1.58%
iter 100: loss 8.7091, time 622.86ms, mfu 1.58%
iter 110: loss 8.5597, time 633.71ms, mfu 1.58%
iter 120: loss 8.3613, time 621.40ms, mfu 1.58%
iter 130: loss 8.3015, time 618.91ms, mfu 1.58%
iter 140: loss 7.8835, time 640.10ms, mfu 1.57%
iter 150: loss 8.0165, time 632.05ms, mfu 1.57%
iter 160: loss 7.5863, time 613.15ms, mfu 1.57%
iter 170: loss 7.4118, time 623.78ms, mfu 1.57%
iter 180: loss 7.3045, time 626.67ms, mfu 1.57%
iter 190: loss 7.0616, time 622.18ms, mfu 1.57%
iter 200: loss 6.9719, time 626.09ms, mfu 1.57%
iter 210: loss 6.5920, time 620.93ms, mfu 1.57%
iter 220: loss 6.6275, time 625.38ms, mfu 1.57%
iter 230: loss 6.2941, time 627.80ms, mfu 1.57%
iter 240: loss 6.2150, time 625.44ms, mfu 1.57%
step 250: train loss 6.1496, val loss 6.4050
saving checkpoint to projects/shakespeare/runs/r5-xl-gpt2-lr1e4
iter 250: loss 6.2684, time 75180.02ms, mfu 1.42%
iter 260: loss 6.0994, time 628.89ms, mfu 1.43%
iter 270: loss 6.1962, time 628.61ms, mfu 1.44%
iter 280: loss 5.9725, time 650.47ms, mfu 1.45%
iter 290: loss 5.8877, time 625.13ms, mfu 1.46%
iter 300: loss 5.9761, time 635.84ms, mfu 1.47%
